date,BTCUSDT,ETHUSDT
2021-01-01,29331.69,728.91
2021-01-02,32178.33,774.56
2021-01-03,33000.05,978.28
2021-01-04,31988.71,1041.43
2021-01-05,33949.53,1099.56
2021-01-06,36769.36,1208.42
2021-01-07,39432.28,1224.87
2021-01-08,40582.81,1216.93
2021-01-09,40088.22,1276.0
2021-01-10,38150.02,1254.25
2021-01-11,35404.47,1087.01
2021-01-12,34051.24,1050.16
2021-01-13,37371.38,1129.89
2021-01-14,39144.5,1231.62
2021-01-15,36742.22,1168.53
2021-01-16,35994.98,1227.83
2021-01-17,35828.61,1232.45
2021-01-18,36631.27,1258.45
2021-01-19,35891.49,1365.36
2021-01-20,35468.23,1376.99
2021-01-21,30850.13,1110.96
2021-01-22,32945.17,1232.62
2021-01-23,32078.0,1233.6
2021-01-24,32259.9,1392.51
2021-01-25,32254.2,1317.88
2021-01-26,32467.77,1365.97
2021-01-27,30366.15,1239.03
2021-01-28,33364.86,1329.69
2021-01-29,34252.2,1379.5
2021-01-30,34262.88,1378.05
2021-01-31,33092.98,1312.55
2021-02-01,33526.37,1374.17
2021-02-02,35466.24,1511.87
2021-02-03,37618.87,1664.49
2021-02-04,36936.66,1595.67
2021-02-05,38290.24,1719.19
2021-02-06,39186.94,1676.35
2021-02-07,38795.69,1611.62
2021-02-08,46374.87,1750.15
2021-02-09,46420.42,1769.13
2021-02-10,44807.58,1740.78
2021-02-11,47969.51,1785.62
2021-02-12,47287.6,1840.26
2021-02-13,47153.69,1814.96
2021-02-14,48577.79,1800.42
2021-02-15,47911.1,1779.25
2021-02-16,49133.45,1781.99
2021-02-17,52119.71,1849.88
2021-02-18,51552.6,1939.61
2021-02-19,55906.0,1955.0
2021-02-20,55841.19,1913.0
2021-02-21,57408.57,1933.53
2021-02-22,54087.67,1777.58
2021-02-23,48891.0,1577.89
2021-02-24,49676.2,1623.39
2021-02-25,47073.73,1481.75
2021-02-26,46276.87,1444.59
2021-02-27,46106.43,1458.13
2021-02-28,45135.66,1419.18
2021-03-01,49587.03,1569.86
2021-03-02,48440.65,1486.78
2021-03-03,50349.37,1567.69
2021-03-04,48374.09,1539.23
2021-03-05,48751.71,1528.31
2021-03-06,48882.2,1650.35
2021-03-07,50971.75,1726.16
2021-03-08,52375.17,1833.18
2021-03-09,54884.5,1870.51
2021-03-10,55851.59,1795.12
2021-03-11,57773.16,1825.78
2021-03-12,57221.72,1766.1
2021-03-13,61188.39,1922.35
2021-03-14,58968.31,1848.1
2021-03-15,55605.2,1793.48
2021-03-16,56900.75,1805.12
2021-03-17,58912.97,1823.58
2021-03-18,57648.16,1776.08
2021-03-19,58030.01,1809.1
2021-03-20,58102.28,1806.1
2021-03-21,57351.56,1782.98
2021-03-22,54083.25,1680.97
2021-03-23,54340.89,1668.08
2021-03-24,52303.65,1581.84
2021-03-25,51293.78,1585.74
2021-03-26,55025.59,1698.84
2021-03-27,55817.14,1712.63
2021-03-28,55777.63,1687.01
2021-03-29,57635.47,1816.74
2021-03-30,58746.57,1840.46
2021-03-31,58740.55,1919.37
2021-04-01,58720.44,1968.05
2021-04-02,58950.01,2133.69
2021-04-03,57051.94,2008.52
2021-04-04,58202.01,2075.69
2021-04-05,59129.99,2107.38
2021-04-06,57991.15,2112.21
2021-04-07,55953.45,1963.47
2021-04-08,58077.52,2080.46
2021-04-09,58142.54,2066.87
2021-04-10,59769.13,2133.49
2021-04-11,60002.43,2151.36
2021-04-12,59860.0,2137.69
2021-04-13,63575.0,2299.19
2021-04-14,62959.53,2432.6
2021-04-15,63159.98,2514.04
2021-04-16,61334.8,2422.67
2021-04-17,60006.66,2317.6
2021-04-18,56150.01,2235.64
2021-04-19,55633.14,2161.12
2021-04-20,56425.0,2330.03
2021-04-21,53787.63,2357.06
2021-04-22,51690.96,2397.94
2021-04-23,51125.14,2367.39
2021-04-24,50047.84,2213.35
2021-04-25,49066.77,2320.49
2021-04-26,54001.39,2532.6
2021-04-27,55011.97,2666.13
2021-04-28,54846.22,2748.24
2021-04-29,53555.0,2757.04
2021-04-30,57694.27,2772.42
2021-05-01,57800.37,2944.77
2021-05-02,56578.21,2949.56
2021-05-03,57169.39,3431.04
2021-05-04,53200.01,3239.01
2021-05-05,57436.11,3524.26
2021-05-06,56393.68,3489.73
2021-05-07,57314.75,3479.53
2021-05-08,58862.05,3910.26
2021-05-09,58240.84,3923.95
2021-05-10,55816.14,3945.88
2021-05-11,56670.02,4173.45
2021-05-12,49631.32,3823.21
2021-05-13,49670.97,3717.91
2021-05-14,49841.45,4075.01
2021-05-15,46762.99,3646.68
2021-05-16,46431.5,3582.1
2021-05-17,43538.04,3282.51
2021-05-18,42849.78,3375.07
2021-05-19,36690.09,2438.92
2021-05-20,40526.64,2768.62
2021-05-21,37252.01,2430.98
2021-05-22,37449.73,2294.87
2021-05-23,34655.25,2096.39
2021-05-24,38796.29,2648.43
2021-05-25,38324.72,2705.11
2021-05-26,39241.91,2884.94
2021-05-27,38529.98,2742.23
2021-05-28,35663.49,2412.1
2021-05-29,34605.15,2278.74
2021-05-30,35641.27,2385.98
2021-05-31,37253.81,2706.15
2021-06-01,36693.09,2634.57
2021-06-02,37568.68,2706.22
2021-06-03,39246.79,2857.25
2021-06-04,36829.0,2689.51
2021-06-05,35513.2,2627.73
2021-06-06,35796.31,2711.92
2021-06-07,33552.79,2592.05
2021-06-08,33380.81,2507.23
2021-06-09,37388.05,2610.18
2021-06-10,36675.72,2471.09
2021-06-11,37331.98,2354.01
2021-06-12,35546.11,2370.74
2021-06-13,39020.57,2509.33
2021-06-14,40516.29,2580.77
2021-06-15,40144.04,2543.54
2021-06-16,38349.01,2367.89
2021-06-17,38092.97,2373.28
2021-06-18,35819.84,2234.09
2021-06-19,35483.72,2164.67
2021-06-20,35600.16,2243.47
2021-06-21,31608.93,1885.49
2021-06-22,32509.56,1879.28
2021-06-23,33678.07,1968.14
2021-06-24,34663.09,1989.52
2021-06-25,31584.45,1808.82
2021-06-26,32283.65,1829.64
2021-06-27,34700.34,1982.28
2021-06-28,34494.89,2084.41
2021-06-29,35911.73,2165.33
2021-06-30,35045.0,2275.68
2021-07-01,33504.69,2106.41
2021-07-02,33786.55,2154.13
2021-07-03,34669.13,2226.99
2021-07-04,35286.51,2322.69
2021-07-05,33690.14,2196.53
2021-07-06,34220.01,2322.5
2021-07-07,33862.12,2316.57
2021-07-08,32875.71,2116.33
2021-07-09,33815.81,2146.99
2021-07-10,33502.87,2110.69
2021-07-11,34258.99,2140.45
2021-07-12,33086.63,2031.58
2021-07-13,32729.77,1940.15
2021-07-14,32820.02,1994.58
2021-07-15,31880.0,1919.51
2021-07-16,31383.87,1876.26
2021-07-17,31520.07,1899.59
2021-07-18,31778.56,1891.64
2021-07-19,30839.65,1818.73
2021-07-20,29790.35,1786.03
2021-07-21,32144.51,1995.5
2021-07-22,32287.83,2024.56
2021-07-23,33634.09,2124.25
2021-07-24,34258.14,2184.75
2021-07-25,35381.02,2189.79
2021-07-26,37237.6,2228.08
2021-07-27,39457.87,2299.49
2021-07-28,40019.56,2300.9
2021-07-29,40016.48,2382.92
2021-07-30,42206.37,2461.81
2021-07-31,41461.83,2531.05
2021-08-01,39845.44,2555.69
2021-08-02,39147.82,2606.93
2021-08-03,38207.05,2509.04
2021-08-04,39723.18,2724.78
2021-08-05,40862.46,2826.99
2021-08-06,42836.87,2891.58
2021-08-07,44572.54,3160.31
2021-08-08,43794.37,3011.85
2021-08-09,46253.4,3160.52
2021-08-10,45584.99,3141.66
2021-08-11,45511.0,3160.5
2021-08-12,44399.0,3045.96
2021-08-13,47800.0,3322.32
2021-08-14,47068.51,3263.16
2021-08-15,46973.82,3307.09
2021-08-16,45901.29,3146.53
2021-08-17,44695.95,3011.72
2021-08-18,44705.29,3014.55
2021-08-19,46760.62,3184.12
2021-08-20,49322.47,3284.82
2021-08-21,48821.87,3223.43
2021-08-22,49239.22,3238.0
2021-08-23,49488.85,3321.28
2021-08-24,47674.01,3170.62
2021-08-25,48973.32,3226.87
2021-08-26,46843.87,3093.2
2021-08-27,49069.9,3273.45
2021-08-28,48895.35,3244.48
2021-08-29,48767.83,3223.47
2021-08-30,46982.91,3229.64
2021-08-31,47100.89,3429.2
2021-09-01,48810.52,3826.82
2021-09-02,49246.64,3785.82
2021-09-03,49999.14,3938.11
2021-09-04,49915.64,3885.52
2021-09-05,51756.88,3950.29
2021-09-06,52663.9,3926.77
2021-09-07,46863.73,3434.57
2021-09-08,46048.31,3499.0
2021-09-09,46395.14,3424.93
2021-09-10,44850.91,3208.86
2021-09-11,45173.69,3267.21
2021-09-12,46025.24,3404.21
2021-09-13,44940.73,3285.35
2021-09-14,47111.52,3434.37
2021-09-15,48121.41,3613.55
2021-09-16,47737.82,3567.98
2021-09-17,47299.98,3399.81
2021-09-18,48292.74,3435.64
2021-09-19,47241.75,3328.62
2021-09-20,43015.62,2977.28
2021-09-21,40734.38,2765.9
2021-09-22,43543.61,3076.92
2021-09-23,44865.26,3152.5
2021-09-24,42810.57,2928.53
2021-09-25,42670.64,2921.73
2021-09-26,43160.9,3059.37
2021-09-27,42147.35,2925.59
2021-09-28,41026.54,2804.91
2021-09-29,41524.28,2850.45
2021-09-30,43824.1,3000.61
2021-10-01,48141.61,3309.91
2021-10-02,47634.9,3387.76
2021-10-03,48200.01,3417.73
2021-10-04,49224.94,3386.31
2021-10-05,51471.99,3515.27
2021-10-06,55315.0,3574.89
2021-10-07,53785.22,3587.47
2021-10-08,53951.43,3563.13
2021-10-09,54949.72,3574.82
2021-10-10,54659.0,3414.22
2021-10-11,57471.35,3542.12
2021-10-12,55996.93,3491.46
2021-10-13,57367.0,3607.42
2021-10-14,57347.94,3790.82
2021-10-15,61672.42,3868.99
2021-10-16,60875.57,3829.96
2021-10-17,61528.33,3846.85
2021-10-18,62009.84,3744.96
2021-10-19,64280.59,3877.03
2021-10-20,66001.41,4161.15
2021-10-21,62193.15,4052.99
2021-10-22,60688.22,3972.2
2021-10-23,61286.75,4167.12
2021-10-24,60852.22,4082.33
2021-10-25,63078.78,4220.37
2021-10-26,60328.81,4131.52
2021-10-27,58413.44,3922.0
2021-10-28,60575.89,4286.02
2021-10-29,62253.71,4418.89
2021-10-30,61859.19,4322.68
2021-10-31,61299.8,4287.21
2021-11-01,60911.11,4319.43
2021-11-02,63219.99,4589.89
2021-11-03,62896.48,4603.35
2021-11-04,61395.01,4532.32
2021-11-05,60937.12,4474.24
2021-11-06,61470.61,4518.0
2021-11-07,63273.59,4612.59
2021-11-08,67525.83,4807.98
2021-11-09,66947.66,4732.33
2021-11-10,64882.43,4628.78
2021-11-11,64774.26,4719.0
2021-11-12,64122.23,4665.46
2021-11-13,64380.0,4644.28
2021-11-14,65519.1,4626.5
2021-11-15,63606.74,4563.78
2021-11-16,60058.87,4209.76
2021-11-17,60344.87,4287.8
2021-11-18,56891.62,3996.9
2021-11-19,58052.24,4294.76
2021-11-20,59707.51,4412.17
2021-11-21,58622.02,4258.31
2021-11-22,56247.18,4085.97
2021-11-23,57541.27,4339.44
2021-11-24,57138.29,4269.36
2021-11-25,58960.36,4524.85
2021-11-26,53726.53,4041.2
2021-11-27,54721.03,4095.29
2021-11-28,57274.88,4294.78
2021-11-29,57776.25,4444.53
2021-11-30,56950.56,4630.26
2021-12-01,57184.07,4582.95
2021-12-02,56480.34,4511.21
2021-12-03,53601.05,4215.73
2021-12-04,49152.47,4117.25
2021-12-05,49396.33,4196.44
2021-12-06,50441.92,4347.59
2021-12-07,50588.95,4306.4
2021-12-08,50471.19,4436.91
2021-12-09,47545.59,4105.64
2021-12-10,47140.54,3897.94
2021-12-11,49389.99,4089.37
2021-12-12,50053.9,4130.0
2021-12-13,46702.75,3781.93
2021-12-14,48343.28,3858.99
2021-12-15,48864.98,4019.08
2021-12-16,47632.38,3958.11
2021-12-17,46131.2,3875.42
2021-12-18,46834.48,3959.93
2021-12-19,46681.23,3924.14
2021-12-20,46914.16,3944.73
2021-12-21,48889.88,4014.15
2021-12-22,48588.16,3979.51
2021-12-23,50838.81,4111.41
2021-12-24,50820.0,4046.36
2021-12-25,50399.66,4094.83
2021-12-26,50775.49,4063.56
2021-12-27,50701.44,4037.23
2021-12-28,47543.74,3792.75
2021-12-29,46464.66,3630.19
2021-12-30,47120.87,3709.27
2021-12-31,46216.93,3676.23
